videoId,actualStartTime,actualEndTime,duration_in_minutes
d9d0767b6146af67fad1ae42352b07667ef2bb49b6c4dcc99a47d3c78e426323,2024-04-30T17:53:46Z,2024-04-30T21:09:49Z,196.05
849a92dd1716212a13a14db45fa2937ca731418bf95575ad8257ba8031ea30f3,2024-04-30T14:39:33Z,2024-04-30T21:08:40Z,389.1166667
847aef33f2c70f17e0bdeec7e6e67b3461cb7034d86acc92f77ce130859d4cc7,2024-04-30T15:20:12Z,2024-04-30T21:11:29Z,351.2833333
3f3b89564e4df2a1d066a61a81c8523fd0442e698c77bd21513ec06043d2bd1b,2024-04-30T15:32:32Z,2024-04-30T21:13:05Z,340.55
1f9e6f7b3eaa618c5af42d92a67f653d8ff2f60da7abc1ee6888db0180a8d5f3,2024-04-30T12:10:00Z,2024-04-30T21:16:51Z,546.85
68609737568829fa106c63c708caaa1d756573ca54dc4ec5a7c55d178699d910,2024-04-30T10:10:48Z,2024-04-30T21:22:08Z,671.3333333
94ffc18c0c257db5c6bac059bf07e15304cbe9f9d2bb0d26b9a695e02f712012,2024-04-30T18:31:40Z,2024-04-30T21:19:48Z,168.1333333
35c81dc6866e21099d41598484e6b6950ac1a4745aaa37765750955630bb2687,2024-04-30T18:16:07Z,2024-04-30T21:32:06Z,195.9833333
397932aacfbe508c22c0b0f7c761d4ecfcedf98200283473b091fd5ea161f706,2024-04-30T14:41:00Z,2024-04-30T21:32:33Z,411.55
fa756ac1036494bf493e6948a8ee9dea6640ded4f73f7a6060597f613abf9731,2024-04-30T16:11:15Z,2024-04-30T21:33:36Z,322.35
873d58ddc3e103f0b54f258a7f94ba34144fd0073f9761886a201c66e50fd78b,2024-04-30T16:04:44Z,2024-04-30T21:32:19Z,327.5833333
3e14becf0960d1ee0e652914bb179b7ad726bc5bb4528883389ca2c81ec234ec,2024-04-30T16:25:51Z,2024-04-30T21:34:29Z,308.6333333
9e860109910c752d064fb3e94e32da4232fcb8aa8574d914a2b13a7ab37a41be,2024-04-30T14:55:44Z,2024-04-30T21:37:15Z,401.5166667
cfeb07f98f842413d646a476fc8f9db0f87154cfd7971c638ca02c9fc1b018bf,2024-04-30T16:30:22Z,2024-04-30T21:41:49Z,311.45
c521a33673d41d64eebc55e55ee330434feac679eb9c3d0a9956616aabbaec91,2024-04-30T19:03:55Z,2024-04-30T21:39:46Z,155.85
30703e52a2d00efc82bfe9ba06793c5751f0d720a9a91bbfa5ecb114d0577f1b,2024-04-30T15:01:08Z,2024-05-01T00:47:12Z,586.0666667
b5ec9cbb4b18bf3ec1cd37ef8085e2d70c59948c7589db99717bbc4bc30f274e,2024-04-30T17:09:26Z,2024-04-30T22:15:38Z,306.2
fa7ae89e831a7a3257393ca7919ef3e3e39c666aab4e3abe20896252cbb8ff39,2024-04-30T08:11:33Z,2024-05-01T00:58:31Z,1006.966667
9d28f805bd931ecfd00f529f470b7842025ef8c162d8a9fcae9b65ae9163925a,2024-04-30T16:13:12Z,2024-04-30T23:11:14Z,418.0333333
51ef0887b9b2c6de3797ad8ad4c01ba610c136b1d5cbab244aa1dfa0f008fb06,2024-04-30T05:17:34Z,2024-05-01T00:58:26Z,1180.866667
352e92d5a8e8d33035c18686dc1b1ea225b0e8c10ff2ddeacdc06277c74ab2a5,2024-04-30T12:31:41Z,2024-05-01T03:17:31Z,885.8333333
da86eeceb33e3cd7c099aba548ef80f84c7e105a658fc94bf277efcc9e12867e,2024-04-30T00:28:19Z,2024-04-30T23:54:05Z,1405.766667
f1bba169b4347c7c3a1185f4c111983b7961f5a6ef16c1b91ec4d4e30bc3ede4,2024-04-30T13:15:49Z,2024-05-01T00:51:47Z,695.9666667
b413ddf12eac215ef79474483c5b4948926be809f6f2e54f4b6a4148e29fb108,2024-04-30T08:00:54Z,2024-05-01T01:16:47Z,1035.883333
f9d5627126d97ac732111b70e6022e291312cd58b1c16bc6aba913f4ecd48437,2024-04-30T13:03:00Z,2024-05-01T03:45:33Z,882.55
fa8f98f31916b899a910781facb76d95e53b65c33805dbdcd3d3a8e5cc364aad,2024-04-30T14:15:31Z,2024-05-01T02:31:38Z,736.1166667
fa261d0de31dc8435c3209a2e0e75cd0b001d12a1949439fbae0ecf212549b41,2024-04-30T04:38:14Z,2024-05-01T05:40:37Z,1502.383333
1d7b57955f829e97d31d758e1cf1a941b9082417e811b172f5f077c42e674acb,2024-04-30T13:29:20Z,2024-05-01T00:45:11Z,675.85
7b64fbf7db59ce35d8e9f7f6681a822f3499af9c4dc778e5d630acda1439f2cb,2024-04-30T08:47:18Z,2024-05-01T01:16:26Z,989.1333333
b5b0729089d4ede82d81896adc31a75c0e0f8c24e01d2bc32701a3ef7b9b2c93,2024-04-30T09:14:06Z,2024-05-01T01:02:18Z,948.2
3b55a9acfa1ae9376e64e38af2f18c66adff251f9ed557a98eb3485d23cb7382,2024-04-30T11:49:48Z,2024-05-01T00:12:03Z,742.25
96f314aab3ce54ef048b4a5200a67243249f94223fc864befb22e876d96c8b2d,2024-04-30T13:00:31Z,2024-05-01T00:48:25Z,707.9
5d83e33a043147121b190ccb59f69133ff095b0c3ad37f39fd7d3556c4adaef3,2024-04-30T03:24:43Z,2024-04-30T22:10:26Z,1125.716667
